hits|visits|day|identifier|orders|amount|product_pages|direct_visit|organic_visit|paid_search_visit|email_visit
1084135|145634|2020-04-27|96|45986|3061233.890000154|707126|400028|260021|846|6
734485|111792|2020-04-30|96|53344|3271520.3900004006|479824|255051|159261|431|0
2084615|182338|2020-04-08|96|11576|908171.750000054|1319358|675851|337172|37056|12
1133765|157161|2020-04-25|96|49829|3398320.870000415|720391|416621|237090|801|7
2473217|254864|2020-04-14|96|24317|2029124.6499999256|1503301|736847|523907|75793|0
843904|86451|2020-03-30|96|3147|281467.8600000019|523875|285621|147390|24293|0
1280512|157278|2020-04-23|96|40552|2746963.0799991805|833606|473178|298346|2899|0
1409119|138770|2020-04-05|96|47|3818.2699999999977|905227|483837|243795|49249|0
2004905|182479|2020-04-06|96|9656|770706.660000026|1257561|666327|379551|45371|0
1089231|103625|2020-04-01|96|5076|431590.4400000292|666140|359204|194030|22427|36
1369592|162391|2020-04-22|96|37623|2569558.269999372|879595|502422|316956|1102|0
2265372|212532|2020-04-10|96|15868|1286222.6900000726|1405633|731816|453607|73642|0
747102|110009|2020-05-01|96|10|268.31|511343|277371|188444|440|0
2110016|201290|2020-04-16|96|27586|2101863.7099999227|1380192|620390|82399|55930|7
1825682|187541|2020-04-17|96|32823|2472347.289999566|1180451|555720|132421|34613|0
529463|95320|2020-05-11|96|63868|3691591.2300010086|346331|190111|124999|445|0
760074|115850|2020-05-05|96|61650|3496219.720000762|495084|272029|183176|551|0
127945|24023|2020-03-06|96|55029|2269412.2899990007|88988|59401|23147|5326|0
136466|25649|2020-03-05|96|48710|1987798.599999089|95147|62948|24199|6505|0
40645|7505|2019-08-31|96|66447|2966812.2999994624|26252|19466|6541|155|0
35037|6585|2019-09-20|96|51259|2220089.769999077|22526|16243|6123|9|0
115977|21109|2020-03-01|96|2057|78232.16999999936|82271|53005|20864|6977|0
51442|8940|2019-08-21|96|61386|2557035.299999384|32942|24683|7719|435|0
97289|17712|2020-02-09|96|1801|71612.70999999982|67667|43944|16921|6097|2
68346|19889|2019-06-28|96|56553|2864539.8299991293|9829|6389|3248|89|7
73210|21305|2019-06-27|96|51892|2591586.829999201|9642|5955|3455|129|4
84772|15633|2019-12-13|96|48042|1972741.1999991045|58194|44660|12188|1024|0
42961|8020|2019-10-29|96|58223|2264058.579998976|28889|20109|8657|11|0
38966|7188|2019-09-23|96|51044|2195625.889999064|24981|18163|6719|26|1
37655|6960|2019-09-24|96|47490|1960733.869999171|24029|17376|6546|9|0
46564|13121|2019-07-13|96|77088|3678047.820000356|4411|1978|2369|55|0
46794|12863|2019-07-12|96|59621|2626103.699999236|4439|2233|2126|75|0
58882|10412|2019-08-14|96|0||35450|26202|8145|969|1
58510|10153|2019-08-13|96|66838|2745901.829999374|35965|26736|7861|1254|1
90581|16872|2019-12-21|96|63192|2784334.4299993967|62984|47502|13118|1924|0
194252|37531|2019-06-03|96|65550|2729139.5099992626|25368|16386|8543|355|21
137599|25556|2020-03-11|96|51628|2221690.0899991|95455|62270|24485|7439|0
43082|7986|2019-10-12|96|73494|3467146.420000456|26948|19041|7794|5|0
49825|13317|2019-07-11|96|55317|2448204.119999156|5429|3019|2317|80|1
92176|17082|2019-12-16|96|48490|1875496.229999133|64188|49261|13006|1378|0
75914|14058|2019-11-27|96|45410|1783621.8599992427|51644|38951|11797|651|0
97329|20099|2020-03-18|96|361|31604.49000000022|57884|42340|13274|1441|0
71484|17006|2020-03-17|96|2762|199874.37999999672|41910|29117|10542|1454|0
38157|7194|2019-09-14|96|67710|3059756.290000018|24782|18136|6571|22|0
44013|7774|2019-08-27|96|51906|2097178.739999024|27744|20680|6832|137|0
102785|18934|2020-01-24|96|45670|1916713.509999189|71480|48354|17921|4175|0
179522|37091|2019-04-17|96|65564|2445703.899999385|16167|9829|5364|926|2
